순위,카테고리,채널명,구독자수,조회수,비디오수
1,음악/댄스/가수,BLACKPINK,"70,200,000","21,457,090,000",395
2,음악/댄스/가수,HYBE LABELS,"63,000,000","20,496,840,000",725
3,음악/댄스/가수,BANGTANTV,"61,500,000","14,077,940,000","1,646"
4,음악/댄스/가수,SMTOWN,"29,300,000","23,016,410,000","3,779"
5,키즈/어린이,Boram Tube Vlog [보람튜브 브이로그],"26,500,000","11,052,880,000",223
6,음악/댄스/가수,1MILLION Dance Studio,"24,600,000","6,930,370,000","3,396"
7,음악/댄스/가수,1theK (원더케이),"23,700,000","21,358,840,000","15,675"
8,음악/댄스/가수,JYP Entertainment,"23,000,000","15,004,820,000","1,429"
9,음악/댄스/가수,Mnet K-POP,"19,000,000","13,974,230,000","26,841"
10,음악/댄스/가수,JFlaMusic,"17,400,000","3,501,980,000",281
11,TV/방송,KBS WORLD TV,"17,200,000","12,905,050,000","54,160"
12,음식/요리/레시피,Jane ASMR 제인,"15,500,000","5,510,780,000","1,300"
13,음악/댄스/가수,officialpsy,"15,300,000","8,844,390,000",91
14,미분류,AdeleVEVO,"15,200,000","10,505,050,000",49
15,음악/댄스/가수,BIGBANG,"13,900,000","6,835,120,000",773
16,음악/댄스/가수,TWICE,"12,600,000","2,692,060,000",705
17,미분류,Saturday Night Live,"12,400,000","12,565,100,000","7,780"
18,음식/요리/레시피,Hongyu ASMR 홍유,"10,900,000","3,144,660,000",421
19,키즈/어린이,Nao FunFun,"10,700,000","4,450,000",37
21,음악/댄스/가수,Stone Music Entertainment,"10,100,000","8,264,600,000","8,335"
20,키즈/어린이,DuDuPopTOY,"10,100,000","4,523,780,000","1,909"
22,키즈/어린이,핑크퐁 (인기 동요・동화),"9,930,000","6,000,450,000","2,386"
23,TV/방송,MBCkpop,"9,610,000","7,627,260,000","41,620"
24,키즈/어린이,Toymong tv 토이몽TV,"9,560,000","3,950,230,000","1,925"
25,키즈/어린이,Larva TUBA,"9,530,000","4,177,810,000","2,986"
26,키즈/어린이,서은이야기[SeoeunStory],"9,420,000","4,059,810,000","1,051"
27,음악/댄스/가수,Mnet TV,"8,670,000","10,085,260,000","19,204"
28,음악/댄스/가수,EXO,"8,540,000","529,000,000",218
29,뉴스/정치/사회,MBCentertainment,"8,490,000","14,898,780,000","88,219"
30,음악/댄스/가수,iKON,"8,420,000","2,161,740,000",470
31,음식/요리/레시피,[햄지]Hamzy,"8,400,000","2,503,380,000",368
32,음악/댄스/가수,TOMORROW X TOGETHER OFFICIAL,"8,290,000","584,700,000",906
33,음악/댄스/가수,Stray Kids,"8,050,000","1,314,470,000",520
34,TV/방송,M2,"7,840,000","5,972,430,000","15,055"
35,해외,Serie A,"7,660,000","2,585,610,000","21,226"
36,키즈/어린이,MariAndKids,"7,530,000","2,321,200,000",809
37,키즈/어린이,SonicToy소닉토이,"7,260,000","3,005,250,000",163
38,음악/댄스/가수,SEVENTEEN,"7,250,000","2,387,630,000",969
39,음악/댄스/가수,이지금 [IU Official],"7,150,000","1,150,010,000",134
40,음식/요리/레시피,쏘영 Ssoyoung,"7,090,000","1,036,380,000",594
41,뉴스/정치/사회,JTBC Entertainment,"7,000,000","10,106,300,000","66,614"
42,음식/요리/레시피,문복희 Eat with Boki,"6,990,000","1,641,030,000",500
43,음악/댄스/가수,Sungha Jung,"6,790,000","1,890,640,000","1,282"
44,미분류,DJSnakeVEVO,"6,590,000","6,437,220,000",51
45,TV/방송,KBS Kpop,"6,550,000","5,094,690,000","30,708"
46,음악/댄스/가수,ALL THE K-POP,"6,520,000","4,001,120,000","21,040"
48,미분류,Pixar,"6,510,000","3,204,930,000",691
47,음악/댄스/가수,YG ENTERTAINMENT,"6,510,000","1,657,980,000",389
49,음악/댄스/가수,MAMAMOO,"6,380,000","1,785,590,000",623
50,음악/댄스/가수,ITZY,"6,310,000","1,189,220,000",497
51,TV/방송,스브스케이팝 / SBS KPOP,"6,190,000","4,239,860,000","27,486"
52,키즈/어린이,서은일상이야기,"6,140,000","2,315,810,000",618
53,음악/댄스/가수,GOT7,"6,130,000","778,110,000",579
54,TV/방송,SBS Entertainment,"5,940,000","7,060,390,000","218,557"
56,회사/오피셜,Samsung,"5,920,000","1,274,960,000","1,629"
55,TV/방송,tvN drama,"5,920,000","6,033,590,000","37,708"
57,패션/미용,PONY Syndrome,"5,890,000","363,260,000",195
58,TV/방송,SBS Drama,"5,780,000","6,107,230,000","341,671"
59,키즈/어린이,[장난감티비]TOYTV,"5,760,000","2,814,870,000","1,520"
60,키즈/어린이,미니특공대TV,"5,680,000","3,197,110,000","1,172"
61,키즈/어린이,스위트티비 SweetTV,"5,610,000","2,706,040,000",511
62,음식/요리/레시피,야미보이 Yummyboy,"5,500,000","1,999,430,000",897
63,음악/댄스/가수,2NE1,"5,370,000","1,993,970,000",321
64,음식/요리/레시피,백종원의 요리비책 Paik's Cuisine,"5,230,000","576,470,000",365
65,키즈/어린이,콩순이 • 시크릿 쥬쥬 [Kongsuni • Secret Jouju],"5,190,000","4,609,770,000","1,280"
66,BJ/인물/연예인,[Awesome Haeun]어썸하은,"5,170,000","817,970,000",512
67,음식/요리/레시피,tzuyang쯔양,"5,000,000","762,910,000",289
68,음악/댄스/가수,starshipTV,"4,970,000","2,896,080,000","1,987"
69,키즈/어린이,ToyMart TV,"4,920,000","2,149,150,000",651
70,키즈/어린이,베이비버스 -인기 동요・동화,"4,880,000","3,300,420,000","1,333"
71,키즈/어린이,TOY GUMA,"4,810,000","1,587,890,000",306
72,음악/댄스/가수,BT21,"4,780,000","392,300,000",208
73,뉴스/정치/사회,SBS NOW / SBS 공식 채널,"4,750,000","4,754,900,000","20,468"
74,음악/댄스/가수,TREASURE (트레저),"4,680,000","932,870,000",288
75,음악/댄스/가수,Red Velvet,"4,620,000","715,610,000",153
76,TV/방송,KBS Entertain,"4,600,000","7,408,330,000","102,574"
81,음악/댄스/가수,NCT,"4,580,000","326,820,000",247
77,키즈/어린이,With Kids Playground [위드키즈 놀이터],"4,580,000","1,716,340,000",411
78,음식/요리/레시피,떵개떵,"4,570,000","2,602,700,000","4,434"
79,음식/요리/레시피,푸메Fume,"4,560,000","935,920,000",499
80,음악/댄스/가수,ASTRO 아스트로,"4,540,000","448,380,000",470
83,키즈/어린이,뽀로로(Pororo),"4,480,000","6,066,130,000","3,695"
82,BJ/인물/연예인,영국남자 Korean Englishman,"4,480,000","1,454,470,000",444
84,TV/방송,MBCdrama,"4,470,000","5,052,550,000","54,871"
85,음식/요리/레시피,하루한끼 one meal a day,"4,400,000","427,920,000",172
86,TV/방송,채널 NCT DAILY,"4,310,000","762,190,000",467
87,음식/요리/레시피,Cooking tree 쿠킹트리,"4,290,000","399,840,000","1,179"
